material_id,pretty_formula,band_gap
mp-779590,La3PO7,4.062099999999999
mp-780526,Li2MnCSO7,4.0507
mp-780534,Rb(BH)5,4.0007
mp-780878,LiMn(PO3)3,4.0608
mp-780898,Li3Mn2(PO3)7,4.0165999999999995
mp-7811,SrSO4,4.030600000000001
mp-783907,LiMnP2HO7,4.0445
mp-8127,K2Mg(CO3)2,4.0703
mp-8409,KYO2,4.0569999999999995
mp-849228,LiFeF4,4.0037
mp-849432,NiH12S2(NO5)2,4.0285
mp-850407,LiMnP(H6O5)2,4.031499999999999
mp-850535,K2Mn3H10S4O21,4.0642
mp-850985,LiFeP2HO7,4.0655
mp-863419,LiNi(PO3)3,4.0023
mp-863420,Rb4H4C3O10,4.0445
mp-866310,Ba2YB2ClO6,4.0621
mp-867950,Li3Ni2(PO3)7,4.0731
mp-8759,Cs2ZrO3,4.0577000000000005
mp-8892,LiInF4,4.0226
mp-9783,Ba3(AsO4)2,4.0706999999999995
mp-989551,LiTl2InF6,4.041600000000001
mp-995216,RbSrSiHO4,4.0208
mp-997570,H6CIN,4.0743
mp-998620,RbSnF3,4.0427
mp-999498,N2,4.017399999999999
mvc-10614,BaCaCrF7,4.0355
mvc-1313,CaNiP2O7,4.0092
mvc-14207,CaBiF5,4.0621
mvc-14355,CaNiF4,4.0193
mvc-1725,CaSn(PO3)4,4.0299
mvc-7373,MgW2O7,4.0738
mp-1002083,CsKICl,4.1193
mp-1019747,K2Ca3Si3O10,4.136
mp-1019803,KAl9O14,4.1426
mp-1019894,La4B10O21,4.137700000000001
mp-1020628,SrGe(PO4)2,4.156499999999999
mp-1020629,SrMgP3N5O2,4.1352
mp-1020707,Rb2GeB4O9,4.0844
mp-1036528,LiMg14AlO16,4.0874999999999995
mp-1037964,CaMg30ZnO32,4.133900000000001
mp-1038009,SrCaMg30O32,4.1315
mp-1038234,KMg30AlO32,4.1121
mp-1039775,NaMg30BO32,4.1427
mp-1039794,NaMg30BO32,4.093400000000001
mp-1039932,NaLaMg30O32,4.1371
mp-1040052,LiMg30GaO32,4.1327
mp-1086666,Sr2TaInO6,4.0893999999999995
mp-1094131,Mg7Fe(SiO4)4,4.1537
mp-1101151,NaHoO2,4.0758
mp-1101467,SnP4O11,4.1249
mp-1101535,Li2MnP2O7,4.1029
mp-1103987,Mg2SiO4,4.0784
mp-1106183,LiAlS2,4.1051
mp-1111051,Na2AlTlF6,4.12
mp-1111074,Li3AsF6,4.1237
mp-1111207,K2RbScCl6,4.1025
